subsystem,notes,contributor_id,date_created,date_updated,subsystem_id
"human consumption",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",184
"food processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",185
"phosphate rock mining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",186
"industrial production",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",187
"agricultural production",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",188
"societal consumption",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",189
"wasted soil",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",190
"food processing output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",191
"other P products",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",192
"food and feed additives",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",193
"harvesting crops",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",194
"Cu metal and alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",195
"slag and leachate",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",196
"iron refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",197
"hazardous industrial waste",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",198
incineration,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",199
"sewage and sewage sludge",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",200
photography,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",201
"primary refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",202
"secondary refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",203
continuous,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",204
general,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",205
"sheet and roll",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",206
oxides,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",207
"galvanized tubes",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",208
"galvanized wire",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",209
galvalume,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",210
lithopone,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",211
"thermal spray",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",212
galvanized,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",213
"aggregate fabrication and manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",214
"final goods",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",215
electronics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",216
tailings,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",217
"aggregate production",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",218
"machinery and appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",219
