process_name,notes,contributor_id,date_created,date_updated,process_name_id
"chemical petrochemical",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",224
"daily chemicals",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",225
pharmeceuticals,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",226
"rubber plastic",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",227
"construction materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",228
"metal processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",229
"other light industry",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",230
"transportation manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",231
"electrical product manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",232
appliances,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",233
"electronics information technology",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",234
"lighting optical",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",235
office,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",236
"construction machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",237
"agricultural machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",238
irrigation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",239
"crop care",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",240
harvesting,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",241
"threshing drying",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",242
"seed processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",243
"agricultural produce processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",244
"animal husbandry",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",245
greenhouses,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",246
cans,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",247
"other packaging",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",248
landill,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",249
"primary smelting refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",250
"SLI batteries",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",251
"stationary batteries",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",252
pipe,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",253
sheet,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",254
alloys,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",255
"engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",256
dissipation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",257
"sludge slimes",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",258
"FeCr slag",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",259
plasma,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",260
"defence applications",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",261
"liquid crystal displays",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",262
lighting,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",263
fertilizers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",264
"magnetic resonance imaging",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",265
"family appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",266
"polishing powders",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",267
"wind turbines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",268
automobiles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",269
catalysts,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",270
"NiMH batteries",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",271
"glass additives",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",272
"audio systems",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",273
"auto converters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",274
metallurgy,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",275
glasses,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",276
greases,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",277
electronics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",278
ceramics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",279
soaps,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",280
agriculture,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",281
refractories,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",282
chemicals,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",283
buildings,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",284
"Al alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",285
lamps,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",286
pigments,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",287
aersopace,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",288
steels,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",289
"Ti-Al alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",290
"buildings infrastructure",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",291
"metal goods and other",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",292
superalloys,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",293
"stainless steels",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",294
platings,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",295
galvanizing,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",296
"casting alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",297
"brass and bronze",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",298
optoelectronics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",299
"fiber optics",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",300
"infrared optics",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",301
"wood preservatives",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",302
pyrotechnics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",303
magnets,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",304
"flat-panel displays",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",305
electrochemical,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",306
autocatalysts,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",307
jewelry,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",308
photography,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",309
monitors,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",310
computeres,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",311
magnetics,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",312
lasers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",313
"optical glass",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",314
"portable X-ray devices",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",315
medical,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",316
